size,files
1507.0,349
1508.0,682
1509.0,585
1510.0,2450
1511.0,795
1512.0,1554
1513.0,970
1514.0,964
1515.0,938
1516.0,587
1517.0,266
1518.0,244
1519.0,1175
1520.0,389
1521.0,415
1522.0,1736
1523.0,1442
1524.0,1318
1525.0,1488
1526.0,1023
1527.0,372
1528.0,1937
1529.0,801
1530.0,1208
1531.0,1494
1532.0,740
1533.0,1346
1534.0,483
1535.0,908
1536.0,1193
1537.0,589
1538.0,541
1539.0,927
1540.0,2354
1541.0,2026
1542.0,773
1543.0,674
1544.0,204
1545.0,3247
1546.0,999
1547.0,315
1548.0,546
1549.0,242
1550.0,538
1551.0,440
1552.0,1153
1553.0,965
1554.0,2008
1555.0,229
1556.0,157
1557.0,229
1558.0,745
1559.0,739
1560.0,339
1561.0,310
1562.0,1245
1563.0,365
1564.0,254
1565.0,336
1566.0,441
1567.0,247
1568.0,438
1569.0,134
1570.0,355
1571.0,387
1572.0,507
1573.0,563
1574.0,405
1575.0,254
1576.0,571
1577.0,902
1578.0,708
1579.0,861
1580.0,699
1581.0,731
1582.0,117
1583.0,92
1584.0,611
1585.0,841
1586.0,773
1587.0,307
1588.0,1489
1589.0,1055
1590.0,535
1591.0,355
1592.0,490
1593.0,369
1594.0,117
1595.0,527
1596.0,335
1597.0,900
1598.0,103
1599.0,515
1600.0,593
1601.0,611
1602.0,263
1603.0,419
1604.0,382
1605.0,296
1606.0,114
1607.0,158
1608.0,208
1609.0,99
1610.0,233
1611.0,397
1612.0,98
1613.0,164
1614.0,401
1615.0,771
1616.0,808
1617.0,217
1618.0,221
1619.0,489
1620.0,186
1621.0,390
1622.0,153
1623.0,88
1624.0,141
1625.0,187
1626.0,519
1627.0,135
1628.0,42
1629.0,416
1630.0,72
1631.0,106
1632.0,999
1633.0,171
1634.0,481
1635.0,197
1636.0,203
1637.0,213
1638.0,637
1639.0,231
1640.0,68
1641.0,727
1642.0,382
1643.0,728
1644.0,423
1645.0,163
1646.0,483
1647.0,80
1648.0,1218
1649.0,1088
1650.0,609
1651.0,199
1652.0,406
1653.0,1266
1654.0,167
1655.0,315
1656.0,750
1657.0,87
1658.0,374
1659.0,344
1660.0,936
1661.0,714
1662.0,2194
1663.0,372
1664.0,638
1665.0,444
1666.0,1549
1667.0,1446
1668.0,332
1669.0,1125
1670.0,409
1671.0,425
1672.0,762
1673.0,185
1674.0,239
1675.0,84
1676.0,156
1677.0,1469
