extension,files,repositories,avg_size,std_size
.bin/webpack,1196,858,227.42307692307693,952.71805482306172
.bin/webdriver-manager,1147,1036,238.30775937227548,1034.6080339481573
.bin/uuid,14213,7313,86.2053753605854,147.9866108012852
.bin/user-home,5157,3824,78.353112274578237,122.18004715230252
.bin/umd,860,641,144.82209302325583,299.34420324141985
.bin/uglifyjs,20650,10657,815.98397094431016,3145.8998951196045
.bin/tsserver,681,521,134.46255506607929,147.01473163055195
.bin/tsc,739,565,126.91745602165088,143.32793506953618
.bin/touch,501,481,102.55489021956089,154.53347689428955
.bin/tiny-lr-fork,1458,1413,152.25445816186556,352.6644075444483
.bin/tiny-lr,1208,1138,159.02566225165566,402.25234983139632
.bin/throttleproxy,847,819,146.19362455726093,316.83801680902479
.bin/tap,574,504,431.82926829268297,1566.8067053013031
.bin/svgo,1347,1155,65.959168522642912,107.0964513498469
.bin/supports-color,16027,4954,79.377799962563145,131.30429594784144
.bin/stylus,984,709,741.74491869918711,3106.6049275641753
.bin/strip-json-comments,7109,3722,88.787452524968344,172.49997669119969
.bin/strip-indent,5835,2604,79.762296486718114,151.35278761565985
.bin/strip-dirs,8632,575,94.788924930491191,314.36363628743919
.bin/strip-bom,3210,2266,94.455763239875409,178.972346250648
.bin/strip-ansi,21102,5300,91.000047388873085,180.820716485564
.bin/sshpk-verify,5138,3617,187.52393927598291,593.81940159629335
.bin/sshpk-sign,5137,3616,198.05333852443061,668.72686022580979
.bin/sshpk-conv,5617,3952,219.37653551718,786.23702465835458
.bin/shjs,5617,4514,121.62506676161657,259.98885522581742
.bin/semver,27721,10362,186.94765701093027,678.40554970071582
.bin/seek-table,2402,583,115.92839300582845,328.33777703492632
.bin/seek-bunzip,2398,583,173.89157631359467,637.90043459749677
.bin/sassgraph,1410,1321,134.49999999999997,384.59666548594765
.bin/rimraf,23516,9662,84.952798094914087,175.88564843972617
.bin/repeating,8061,2490,77.084604887731047,142.88550497146721
.bin/regjsparser,1527,1253,128.22986247544208,273.93067485285678
.bin/regexpu,524,431,226.14312977099237,705.77599545842384
.bin/regenerator,568,444,90.086267605633807,141.5127814874553
.bin/rc,6886,3825,88.197356956142855,262.59223998695165
.bin/protractor,1074,1041,101.02793296089384,135.4373646410906
.bin/pretty-bytes,3379,2117,94.0032554010062,154.54266739718707
.bin/phantomjs,1703,1596,119.83088667058134,240.88788379444611
.bin/osx-release,1082,1042,83.868761552680212,142.080391063103
.bin/os-name,1085,1044,73.205529953917051,116.96358741591128
.bin/optipng,714,683,422.3515406162465,6631.5265564961564
.bin/opn,1894,1774,76.34054910242871,145.86818859746717
.bin/opener,1704,1537,128.63615023474182,308.91098510639648
.bin/not-in-publish,820,790,98.325609756097535,129.53825228904029
.bin/not-in-install,820,790,98.428048780487785,129.51815819667681
.bin/nopt,23519,9390,114.33857732046434,283.19579209286206
.bin/nodeunit,525,443,864.2914285714287,1717.8232167014755
.bin/nodemon,761,737,92.650459921156354,133.6757123864505
.bin/node-sass,1899,1643,273.43022643496585,1445.4015108831634
.bin/node-pre-gyp,2982,2558,151.73809523809516,540.81029396002646
.bin/node-http-proxy,1230,1207,192.90894308943095,539.64189509367952
.bin/node-gyp,1719,1555,164.33275159976725,511.01439991311332
.bin/ncp,5214,3493,104.07729190640583,242.48123437069881
.bin/module-deps,1013,749,102.10463968410659,167.4134810124236
.bin/mocha,2799,2341,128.95534119328335,313.40466218510528
.bin/mkdirp,27323,10246,87.0830069904476,160.66143064936196
.bin/minijasminenode,708,689,86.498587570621467,131.67712106890534
.bin/mime,11131,8063,88.410834606055133,122.03943593008597
.bin/miller-rabin,943,826,122.25980911983032,157.79665671102782
.bin/marked,1146,1040,253.477312390925,781.30782973955536
.bin/lt,1051,1018,136.7687916270219,278.45292124328552
.bin/lpad-align,723,381,67.391424619640361,118.6594689278955
.bin/loose-envify,2223,1110,86.381916329284735,122.62951740392796
.bin/lodash,1004,427,8489.57470119522,25635.877429739354
.bin/leven,557,454,72.6032315978456,130.64497800263038
.bin/lessc,1804,1609,478.44678492239461,2291.1934996286604
.bin/latest-version,1610,1468,88.050310559006221,146.97424956122828
.bin/karma,1341,1319,95.382550335570457,145.41077366642079
.bin/jsonstream,1207,756,261.76139188069595,875.43196694942174
.bin/json5,2722,1507,103.7964731814842,223.87883204811743
.bin/jshint,2821,2600,66.445232187167676,108.57646713600086
.bin/jsesc,2343,1402,191.39863422962014,648.11715003456607
.bin/js-yaml,10012,6303,179.435177786656,512.12203176594176
.bin/js-beautify,744,688,76.338709677419345,98.3058419087082
.bin/jpegtran,689,660,70.709724238026155,111.66619916570863
.bin/jasmine,818,781,102.78361858190709,152.27770764427922
.bin/jade,4999,4154,318.78075615123015,1062.2589371530717
.bin/istanbul,876,756,124.02511415525117,348.84051443520076
.bin/insert-module-globals,923,675,122.4192849404117,172.47130207612861
.bin/indent-string,6469,1682,100.24115010047923,214.1814854039292
.bin/in-publish,820,790,93.691463414634157,128.11811047735614
.bin/in-install,820,790,93.691463414634143,128.11811047735614
.bin/image-size,1060,948,110.22358490566037,178.87996410562582
.bin/hulk,524,478,1644.5744274809163,1275.7135746197416
.bin/http-server,1017,1010,150.76106194690266,401.67406937701963
.bin/html-minifier,666,582,390.945945945946,1677.9415970434738
.bin/html-beautify,744,688,78.61021505376344,98.995390966066452
.bin/he,1654,1453,149.01330108827082,507.52161627909811
.bin/has-ansi,14242,4256,89.352127510181177,189.10551313299163
.bin/har-validator,7119,4595,128.28739991571848,275.56000300162026
.bin/handlebars,4818,3763,216.44686591946868,855.87672016472334
.bin/gzip-size,2333,1623,104.76425203600516,198.50337794177875
.bin/gulp,2501,2361,201.72730907636947,809.45573072893626
.bin/grunt,1282,1023,96.117784711388452,200.08037263769486
.bin/gifsicle,715,684,69.615384615384585,113.04329275765068
.bin/get-urls,1025,190,128.56975609756097,280.44686241621713
.bin/find-versions,1382,678,84.334298118668613,183.85179536949306
.bin/file-type,1243,174,49.88173773129526,127.13473654461758
.bin/extract-zip,779,708,89.188703465982016,137.59601116557388
.bin/extname,547,102,188.7056672760512,296.0643666169189
.bin/express,4619,4180,881.77137908638235,2563.8321097026574
.bin/executable,1713,636,82.436660828955041,174.35446589260019
.bin/esvalidate,20845,7636,344.159030942672,1298.1236524207955
.bin/esparse,21148,7665,260.95451106487621,878.09244830343175
.bin/eslint,912,610,105.3234649122807,311.47254730619932
.bin/esgenerate,2977,1891,144.41249580114209,393.76390547862684
.bin/escodegen,2978,1892,147.13935527199465,416.87662521120654
.bin/errno,1899,1604,78.91153238546606,127.93729352095585
.bin/ecstatic,1074,1054,249.03817504655495,1106.9774744847389
.bin/download,1773,302,206.4867456288776,580.29381371524744
.bin/dev-ip,1114,1005,125.86535008976658,248.54095676575932
.bin/detect-indent,865,697,116.35606936416187,232.18459373495381
.bin/deps-sort,887,648,86.673055242390078,116.40648009130069
.bin/defs,549,444,50.93442622950819,80.987942232930976
.bin/decompress-zip,1677,1581,131.29397734048894,326.70530580812562
.bin/decompress,1802,352,179.00332963374032,487.62196354729122
.bin/dateformat,7244,2280,152.86402540033126,437.85056006085608
.bin/csso,971,854,85.734294541709545,123.33795432595389
.bin/cssesc,561,475,168.4438502673797,506.63355396409719
.bin/css-beautify,744,688,77.493279569892465,98.649453242431861
.bin/commonize,955,735,87.752879581151817,170.02649220011395
.bin/coffee,6850,4934,85.072262773722613,115.16580899335165
.bin/cleancss,4379,3686,334.0924868691481,1158.8989853642968
.bin/cdl,1750,1653,117.02571428571432,289.54754815598596
.bin/cake,6847,4934,82.2460931794947,114.27365043059294
.bin/browserslist,1462,1007,150.48495212038307,401.57355886814872
.bin/browserify,1003,719,291.67996011964107,757.36429076722357
.bin/browser-sync,996,966,196.78012048192775,543.590246996332
.bin/browser-pack,904,657,72.233407079646028,96.585514592675835
.bin/bower,1916,1817,141.63569937369522,521.023658883677
.bin/bin-version-check,1393,682,88.600143575017924,173.70886240859943
.bin/babylon,2811,1105,75.185343294201374,111.22254699242303
.bin/atob,617,500,88.69367909238251,118.47974445594025
