repo_name,paths,package_avg,imports_avg
lmmsoft/LeetCode,21,1.3809523809523809,3.9047619047619051
thheller/shadow-cljs,21,3.9523809523809526,6.7142857142857135
grzegorzmazur/yacas,21,1.7619047619047619,2.4761904761904763
ing-bank/baker,21,4.6666666666666661,7.3809523809523805
onemoonsci/nmrfxprocessor,277,3.3754512635379048,6.03971119133574
lagadic/visp,22,6.5454545454545467,13.59090909090909
Wilm0r/giggity,22,9.2272727272727266,21.363636363636363
twosigma/Cook,22,4.454545454545455,9.5000000000000018
oracc/oracc,22,2.6363636363636362,3.4545454545454546
CyclopsMC/CyclopsCore,534,5.7509363295880149,8.43820224719101
google/science-journal,534,6.2977528089887649,11.091760299625467
openmole/openmole,23,2.5217391304347827,5.6521739130434785
GoogleContainerTools/skaffold,23,2.5217391304347823,2.8695652173913042
maruTA-bis5/mattermost4j,279,3.3691756272401427,6.172043010752688
Javlo/javlo,1047,6.5826170009551106,12.710601719197701
jeanpetric/drummer,24,2.2500000000000004,3.708333333333333
JohnSnowLabs/spark-nlp,24,2.833333333333333,5.0833333333333339
ebraminio/DroidPersianCalendar,24,5.5000000000000009,13.791666666666664
UNIZAR-30246-WebEngineering/lab1-git-race,24,7.125,10.5
apache/commons-lang,280,2.4857142857142862,7.5071428571428545
graphql-java/graphql-java,536,3.7052238805970141,9.8824626865671625
anthonycr/Lightning-Browser,25,9.12,16.0
scalatest/scalatest,25,1.4800000000000002,1.7999999999999996
clchiou/garage,25,5.9600000000000009,10.079999999999998
zaproxy/zap-extensions,1305,6.1080459770114937,10.794636015325674
jddurand/c-marpaESLIF,26,1.6153846153846156,2.8076923076923075
couchbase/couchbase-lite-android,26,4.8076923076923075,8.8846153846153832
NLeSC/Xenon-examples,26,2.4615384615384617,4.1538461538461533
cheng2016/developNote,26,6.7692307692307692,11.423076923076923
sbt/sbt,26,2.4230769230769234,4.3076923076923084
jpaulm/drawfbp,26,4.1538461538461542,9.115384615384615
MTASZTAKI/ApertusVR,26,1.653846153846154,2.9230769230769225
kbase/workspace_deluxe,282,5.9007092198581548,15.943262411347519
rroart/stockstat,538,6.0724907063197,10.988847583643125
