repo_name,commits,author_emails,start_time,end_time,bug_fix_hit_rate
soundcloud/lhm,356,48,2011-05-04 09:47:10 UTC,2018-08-21 17:16:21 UTC,0.15168539325842698
soveran/cuba,307,32,2010-04-25 04:02:05 UTC,2018-09-25 11:41:31 UTC,0.097719869706840393
sparklemotion/mechanize,1445,116,2006-03-17 16:19:03 UTC,2019-02-12 09:31:20 UTC,0.15224913494809689
spinnaker/spinnaker,1975,124,2014-09-07 09:01:23 UTC,2019-09-18 18:00:08 UTC,0.17721518987341772
sripathikrishnan/redis-rdb-tools,210,23,2012-03-10 11:16:20 UTC,2019-02-25 07:33:43 UTC,0.22380952380952382
stefankroes/ancestry,462,91,2009-10-16 14:47:29 UTC,2019-09-11 15:13:37 UTC,0.19913419913419914
stephanenicolas/robospice,868,33,2012-09-19 14:09:37 UTC,2018-01-14 04:12:11 UTC,0.12442396313364056
stevegraham/slanger,397,32,2011-07-21 00:30:45 UTC,2019-02-27 12:08:48 UTC,0.17380352644836272
streamio/streamio-ffmpeg,347,40,2010-02-05 15:36:42 UTC,2017-03-21 11:21:02 UTC,0.13256484149855907
stripe/stripe-php,1321,152,2011-06-01 00:58:50 UTC,2019-09-17 17:12:59 UTC,0.16124148372445118
stylus/stylus,4000,200,2010-12-09 22:05:30 UTC,2019-08-21 12:33:04 UTC,0.2495
svenfuchs/rails-i18n,1810,520,2008-07-31 13:08:32 UTC,2019-08-21 23:54:43 UTC,0.20552486187845304
swanandp/acts_as_list,488,113,2007-09-10 04:23:59 UTC,2019-09-05 13:56:46 UTC,0.2151639344262295
swiftmailer/swiftmailer,1548,170,2007-11-05 03:34:28 UTC,2019-06-27 10:22:32 UTC,0.30684754521963825
teampoltergeist/poltergeist,975,144,2011-10-27 22:34:14 UTC,2019-01-29 16:31:00 UTC,0.25025641025641027
technicalpickles/homesick,546,51,2010-03-04 05:19:35 UTC,2019-01-20 04:21:27 UTC,0.14652014652014653
technicalpickles/jeweler,977,90,2008-10-12 03:03:20 UTC,2019-04-02 17:55:39 UTC,0.13203684749232344
technoweenie/restful-authentication,223,38,2006-08-01 18:32:04 UTC,2010-08-06 05:31:41 UTC,0.22421524663677131
tenex/rails-assets,1469,77,2010-01-07 18:58:25 UTC,2018-03-15 03:56:29 UTC,0.18584070796460178
thephpleague/oauth2-client,982,169,2013-01-29 16:06:24 UTC,2019-09-18 15:36:52 UTC,0.12932790224032586
thoughtbot/high_voltage,343,72,2009-04-21 19:56:12 UTC,2019-08-20 13:41:30 UTC,0.087463556851311949
thoughtbot/shoulda,645,66,2007-03-14 18:11:47 UTC,2018-09-07 10:22:54 UTC,0.19844961240310077
thoughtbot/shoulda-matchers,1797,269,2007-03-14 18:11:47 UTC,2019-09-04 05:05:47 UTC,0.23539232053422371
tj/commander.js,748,154,2011-08-14 18:40:38 UTC,2019-08-30 08:39:23 UTC,0.1751336898395722
tmuxinator/tmuxinator,800,134,2010-12-08 09:25:22 UTC,2019-05-23 04:23:17 UTC,0.205
troessner/reek,2464,94,2008-09-05 10:55:09 UTC,2019-08-26 20:02:59 UTC,0.12702922077922077
trulia/hologram,384,44,2013-03-26 00:04:25 UTC,2018-02-11 08:09:08 UTC,0.1484375
twilio/twilio-php,1391,94,2009-09-06 23:49:57 UTC,2019-09-18 22:10:18 UTC,0.12724658519051044
typekit/webfontloader,1144,55,2010-05-06 07:11:02 UTC,2017-05-27 16:28:20 UTC,0.15646853146853146
typhoeus/typhoeus,1380,145,2009-02-18 23:15:07 UTC,2019-08-25 08:35:49 UTC,0.15144927536231884
vcr/vcr,2014,138,2010-02-25 03:34:48 UTC,2019-08-07 16:20:34 UTC,0.182720953326713
visionmedia/superagent,1655,233,2011-08-05 15:38:47 UTC,2019-08-30 03:31:47 UTC,0.20120845921450151
vitalets/x-editable,624,34,2012-11-09 08:58:42 UTC,2019-03-27 14:19:39 UTC,0.27564102564102566
websockets/ws,1563,176,2011-11-07 21:30:11 UTC,2019-09-15 07:14:54 UTC,0.21369161868202174
wkhtmltopdf/wkhtmltopdf,1124,79,2008-05-07 16:22:48 UTC,2019-07-12 09:26:00 UTC,0.28024911032028471
wp-cli/wp-cli,9346,326,2011-09-08 22:05:15 UTC,2019-09-18 15:43:55 UTC,0.14016691632784078
yiisoft/yii,6595,362,2008-07-20 14:55:13 UTC,2019-04-29 15:11:53 UTC,0.25473843821076575
yusuke/twitter4j,2318,170,2007-06-20 16:38:46 UTC,2018-08-18 00:10:53 UTC,0.17644521138912855
z3t0/Arduino-IRremote,319,45,2010-01-23 06:08:26 UTC,2018-03-12 21:17:02 UTC,0.15047021943573669
zurb/foundation-sites,16436,1275,2011-10-13 23:09:47 UTC,2019-08-15 07:54:23 UTC,0.23059138476514968
zxing/zxing,3518,147,2007-10-22 21:45:03 UTC,2019-07-29 19:52:39 UTC,0.198408186469585
